target_id	length	eff_length	est_counts	tpm
Solyc11g011130.2.1	1870	1691	78	24.5911
Solyc03g118660.3.1	1672	1493	67	23.9244
Solyc05g009890.1.1	1362	1183	0	0
Solyc02g030220.1.1	1017	838	0	0
Solyc02g069547.1.1	744	565	0	0
Solyc09g008940.3.1	1682	1503	35	12.4147
Solyc05g006323.1.1	1341	1162	247	113.323
Solyc01g100590.3.1	1474	1295	128	52.6947
Solyc11g068810.2.1	709	530	33	33.1944
Solyc10g047480.1.1	1443	1264	0	0
Solyc01g086970.3.1	585	406	588	772.108
Solyc02g069730.3.1	1243	1064	2.00775	1.00599
Solyc09g055235.1.1	561	382	0	0
Solyc07g025120.1.1	234	55.1953	0	0
Solyc09g097865.1.1	3472	3293	1	0.161896
Solyc06g073100.3.1	1203	1024	2	1.04125
Solyc10g080045.1.1	1790	1611	29	9.59686
Solyc06g060970.2.1	6163	5984	20.6256	1.83756
Solyc06g066470.3.1	240	61.0822	0	0
Solyc03g025340.1.1	1050	871	68	41.6215
Solyc02g091570.1.1	1125	946	0	0
Solyc03g118120.3.1	830	651	4	3.27571
Solyc12g013480.2.1	197	24.7239	0	0
Solyc02g068620.1.1	375	196	0	0
Solyc03g082975.1.1	456	277	21.692	41.7491
Solyc12g089293.1.1	768	589	0	0
Solyc12g096130.2.1	84	4.40283	0	0
Solyc01g080530.3.1	1352	1173	127	57.7208
Solyc05g014980.3.1	1193	1014	22	11.5668
Solyc04g024340.3.1	972	793	25	16.8071
Solyc03g081290.1.1	297	118	0	0
Solyc02g069230.3.1	4256	4077	256	33.4754
Solyc12g099420.2.1	2427	2248	43	10.1976
Solyc02g030185.1.1	1050	871	0	0
Solyc11g012840.2.1	1311	1132	90.7014	42.7164
Solyc09g098470.2.1	2529	2350	0	0
Solyc08g006290.2.1	798	619	0	0
Solyc03g005730.3.1	1807	1628	424	138.848
Solyc02g083130.3.1	1482	1303	1	0.40915
Solyc03g025860.3.1	1991	1812	7.61555	2.24063
Solyc04g005030.3.1	2062	1883	365	103.34
Solyc01g073940.3.1	2300	2121	99	24.8841
Solyc08g062700.3.1	2066	1887	132	37.2931
Solyc06g084170.3.1	406	227	1	2.34856
Solyc11g050810.1.1	720	541	0	0
Solyc03g083385.1.1	372	193	0	0
Solyc09g066495.1.1	479	300	17.7855	31.6061
Solyc06g008150.3.1	2569	2390	96	21.4141
Solyc09g075560.1.1	1104	925	25	14.4087
Solyc01g103945.1.1	303	124	0	0
Solyc05g053715.1.1	243	64.0516	0	0
Solyc01g067360.3.1	1402	1223	0	0
Solyc08g041660.1.1	192	21.9418	0	0
Solyc07g065970.2.1	828	649	12	9.85742
Solyc06g072550.3.1	925	746	0	0
Solyc12g015750.1.1	468	289	0	0
Solyc06g043034.1.1	1068	889	0	0
Solyc01g109710.3.1	1132	953	281	157.196
Solyc04g081165.1.1	215	37.7159	0	0
Solyc07g041440.2.1	333	154	0	0
Solyc10g078350.2.1	3533	3354	0	0
Solyc05g016710.2.1	675	496	0	0
